OriginalText,Location1,Aspect1,Sentiment1,Location2,Aspect2,Sentiment2,MaskedText,LocationsInText
Dorset is transforming and the prices will go up and up,Dorset,price,0,,,0,    LOCATION1 is transforming and the prices will go up and up,"[('Dorset', 'GPE')]"
Along Surrey there are lots of Electronics shops independent ones,Surrey,shopping,1,,,0,  Along LOCATION1 there are lots of Electronics shops (independent ones),"[('Surrey', 'GPE')]"
And East Riding of Yorkshire is ten mins direct on the tube to West Midlands,East Riding of Yorkshire,transit-location,1,,,0,  And LOCATION1 is ten mins direct on the tube to LOCATION2:  ,"[('East Riding of Yorkshire', 'GPE'), ('West Midlands', 'GPE')]"
Another option is Wiltshire which is very central and has tons of clubsbars within walking distance of each other,Wiltshire,nightlife,1,Wiltshire,transit-location,1,  Another option is LOCATION1 which is very central and has tons of clubs/bars within walking distance of each other,"[('Wiltshire', 'GPE')]"
Best bet is around Greater London and Leicestershire area in the northwest corner really nice,Leicestershire,general,1,Greater London,general,1,  Best bet is around LOCATION2 and LOCATION1 area in the northwest corner really nice ,"[('Greater London', 'GPE'), ('Leicestershire', 'GPE')]"
Central London based taxis mostly refuse fares to suburban areas like Rutland,Rutland,transit-location,0,,,0,  Central London based taxis mostly refuse fares to suburban areas like LOCATION1,"[('Central London', 'GPE'), ('Rutland', 'GPE')]"
Dont go looking at places like East Riding of Yorkshire now that IS a rough area you really would not want to live in,East Riding of Yorkshire,general,0,East Riding of Yorkshire,live,0,  Don't go looking at places like LOCATION1  now that IS a rough area you really wouldn't want to live in,"[('East Riding of Yorkshire', 'GPE')]"
Everyone in Kent is now black or Bangladeshi,Kent,multicultural,1,,,0,  Everyone in LOCATION1 is now black or Bangladeshi,"[('Everyone', 'GPE'), ('Kent', 'GPE'), ('Bangladeshi', 'GPE')]"
For gods sake do not move to Isle of Wight its horrible,Isle of Wight,general,0,,,0,  For gods sake don't move to LOCATION1 its horrible,"[('Isle of Wight', 'GPE')]"
I dont like Oxfordshire at all,Oxfordshire,general,0,,,0,  I dont like LOCATION1 at all,"[('Oxfordshire', 'GPE')]"
