opinions/0/sentiment,opinions/0/aspect,opinions/0/target_entity,id,text,opinions/1/sentiment,opinions/1/aspect,opinions/1/target_entity,opinions/2/sentiment,opinions/2/aspect,opinions/2/target_entity,opinions/3/sentiment,opinions/3/aspect,opinions/3/target_entity,opinions/4/sentiment,opinions/4/aspect,opinions/4/target_entity,opinions/5/sentiment,opinions/5/aspect,opinions/5/target_entity,opinions/6/sentiment,opinions/6/aspect,opinions/6/target_entity,opinions/7/sentiment,opinions/7/aspect,opinions/7/target_entity,opinions/8/sentiment,opinions/8/aspect,opinions/8/target_entity,opinions/9/sentiment,opinions/9/aspect,opinions/9/target_entity
Negative,price,LOCATION1,1430,    LOCATION1 is transforming and the prices will go up and up,,,,,,,,,,,,,,,,,,,,,,,,,,,
Positive,shopping,LOCATION1,2013,  Along LOCATION1 there are lots of Electronics shops (independent ones),,,,,,,,,,,,,,,,,,,,,,,,,,,
Positive,transit-location,LOCATION1,1244,  And LOCATION1 is ten mins direct on the tube to LOCATION2:  ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Positive,nightlife,LOCATION1,209,  Another option is LOCATION1 which is very central and has tons of clubs/bars within walking distance of each other,Positive,transit-location,LOCATION1,,,,,,,,,,,,,,,,,,,,,,,,
Positive,general,LOCATION1,2824,  Best bet is around LOCATION2 and LOCATION1 area in the northwest corner really nice ,Positive,general,LOCATION2,,,,,,,,,,,,,,,,,,,,,,,,
Negative,transit-location,LOCATION1,1835,  Central London based taxis mostly refuse fares to suburban areas like LOCATION1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative,general,LOCATION1,1429,  Don't go looking at places like LOCATION1  now that IS a rough area you really wouldn't want to live in,Negative,live,LOCATION1,Negative,safety,LOCATION1,,,,,,,,,,,,,,,,,,,,,
,,,1404,"  Down here in South London the accent [local] tends to be a bit more Kent, while the accent [local] in LOCATION1 tends to be a bit more Essex and Hertfordshire",,,,,,,,,,,,,,,,,,,,,,,,,,,
Positive,multicultural,LOCATION1,190,  Everyone in LOCATION1 is now black or Bangladeshi,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative,general,LOCATION1,1281,  For gods sake don't move to LOCATION1 its horrible,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2476,  I also live in LOCATION1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,957,  I don't live in London but I know the gay part of London would be LOCATION1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative,general,LOCATION1,1744,  I dont like LOCATION1 at all,,,,,,,,,,,,,,,,,,,,,,,,,,,
Positive,live,LOCATION1,1735,  I have friends living in LOCATION1 and love it,Positive,general,LOCATION1,,,,,,,,,,,,,,,,,,,,,,,,
Positive,live,LOCATION1,575,  I have heard that LOCATION1 is the place to live in London ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative,safety,LOCATION1,1191,  I liv in LOCATION1 in LOCATION2 which is a place where a lot of violence happens wiv gangs e,,,,,,,,,,,,,,,,,,,,,,,,,,,
Positive,general,LOCATION1,1696,  I live in LOCATION1 and I cant say I recommend it,Positive,live,LOCATION1,,,,,,,,,,,,,,,,,,,,,,,,
Positive,safety,LOCATION1,1210,"  I live in LOCATION1, been here 11 years with no problems",,,,,,,,,,,,,,,,,,,,,,,,,,,
Positive,nightlife,LOCATION1,508,"  I live in LOCATION1, there's great access to transport, some great pubs, beautiful houses in some areas, good schools",Positive,transit-location,LOCATION1,,,,,,,,,,,,,,,,,,,,,,,,
