created_at,date,place,tweet,language,hashtags,location
2021-07-23 16:03:21 EET,2021-07-23,"{'type': 'Point', 'coordinates': [52.3769, 4.8982]}","Are you an #optimist like me? . . #mindset #optimism #wayout #isayno #creative #possibilities #impossibleisnothing @ Amsterdam, Netherlands  https://t.co/0IkLCO6TTf",en,"['optimist', 'mindset', 'optimism', 'wayout', 'isayno', 'creative', 'possibilities', 'impossibleisnothing']",Amsterdam
2021-07-23 15:50:40 EET,2021-07-23,"{'type': 'Point', 'coordinates': [52.3702157, 4.8951679]}",This job might be a great fit for you: Solution Engineer -  https://t.co/StuXNdxPPe #Amsterdam #Sales,en,"['amsterdam', 'sales']",Amsterdam
2021-07-23 15:32:59 EET,2021-07-23,"{'type': 'Point', 'coordinates': [52.3769, 4.8982]}","Made it to Amsterdam! First of many local beers! This one is a nite beer with slight banana undertone. #yum #hotelpulitzeramsterdam #travel #localbeers @ Amsterdam, Netherlands  https://t.co/k0D08pUXJ7",en,"['yum', 'hotelpulitzeramsterdam', 'travel', 'localbeers']",Amsterdam
2021-07-23 15:32:21 EET,2021-07-23,"{'type': 'Point', 'coordinates': [40.78471, -73.97747]}",Playing a solo show early tomorrow evening at @theginmill on Amsterdam! #livemusic #coversongs #nycmusician #giglife #theginmillnyc @ The Gin Mill  https://t.co/VwKqBio3Oc,en,"['livemusic', 'coversongs', 'nycmusician', 'giglife', 'theginmillnyc']",Amsterdam
2021-07-23 14:53:17 EET,2021-07-23,"{'type': 'Point', 'coordinates': [42.9374279, -74.2683249]}","Can you recommend anyone for this job? INBOUND/OUTBOUND MANAGER- AMSTERDAM NY DC -  https://t.co/4PznkRgRSE #SupplyChain #Amsterdam, NY",en,"['supplychain', 'amsterdam']",Amsterdam
2021-07-23 14:45:53 EET,2021-07-23,"{'type': 'Point', 'coordinates': [52.3769, 4.8982]}","Super setup 2.0 😄👌🏼  #baby #mama #verliefd #setup #babybooks #lezen #detevredenbaby #tevredenbaby #babybook #chillen #familytime #verlof #partnerverlof #partnerleave #zwangerschapsverlof @ Amsterdam, Netherlands  https://t.co/UiMipiBUxH",en,"['baby', 'mama', 'verliefd', 'setup', 'babybooks', 'lezen', 'detevredenbaby', 'tevredenbaby', 'babybook', 'chillen', 'familytime', 'verlof', 'partnerverlof', 'partnerleave', 'zwangerschapsverlof']",Amsterdam
2021-07-23 14:26:58 EET,2021-07-23,"{'type': 'Point', 'coordinates': [40.8412828, -73.9357562]}",The driver T750670C blocked the crosswalk near 2232 Amsterdam Ave on July 23 and has been reported to #nyctaxi. This is in Manhattan Community Board 12 #mancb12 &amp; #NYPD33. #VisionZero  https://t.co/dzypcl1m9X,en,"['nyctaxi', 'mancb12', 'nypd33', 'visionzero']",Amsterdam
2021-07-23 14:23:29 EET,2021-07-23,"{'type': 'Point', 'coordinates': [40.8412828, -73.9357562]}",The driver T750670C blocked the bike lane near 2232 Amsterdam Ave on July 23 and has been reported to #nyctaxi. This is in Manhattan Community Board 12 #mancb12 &amp; #NYPD33. #VisionZero #BlockedBikeNYC  https://t.co/skxpzTZ7kv,en,"['nyctaxi', 'mancb12', 'nypd33', 'visionzero', 'blockedbikenyc']",Amsterdam
2021-07-23 13:59:39 EET,2021-07-23,"{'type': 'Point', 'coordinates': [52.3666969, 4.8945398]}","In our diverse work environment, you’ll be inspired by colleagues &amp; empowered to exercise your imagination on real-world challenges. Thermo Fisher is hiring in #Amsterdam, NH!  https://t.co/7lfJUdHReG #oncology",en,"['amsterdam', 'oncology']",Amsterdam
2021-07-23 13:18:22 EET,2021-07-23,"{'type': 'Point', 'coordinates': [52.3675734, 4.9041389]}","Nervous to apply for a job like ""Technical &amp; Solution Sales Support"" at Ericsson? Apply even if you're not a 100% match. You might be underestimating your value. Click the link in our bio for more info. #Sales #Amsterdam, NH",en,"['sales', 'amsterdam']",Amsterdam
